Faculty;1st Postal Code;2nd Postal Code;3rd Postal Code;4th Postal Code;5th Postal Code;6th Postal Code;7th Postal Code;8th Postal Code;9th Postal Code;10th Postal Code
Barcelona School of Informatics (FIB);08020;08910;08960;08290;08200;08720;17400;25200;08980;08860
Faculty of Mathematics and Statistics (FME);08020;08000;08900;08720;08750;08770;08780;08790;08820;08830
Faculty of Nautical of Barcelona (FNB);08910;08020;08980;08780;08950;08870;08720;08750;08770;08790
Faculty of Optics and Optometry of Terrassa (FOOT);08540;08000;08870;08720;08750;08770;08780;08790;08820;08830
Higher Technical School of Architecture of Barcelona (ETSAB);08970;08020;08860;08000;08870;08720;08750;08770;08780;08790
Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB);08020;08010;08150;08950;08920;08900;08000;08860;08750;08770
Higher Technical School of Industrial Engineering of Barcelona (ETSEIB);08020;08010;08000;08950;08390;08870;08830;08400;43000;08040
Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB);08170;08000;08900;08720;08750;08770;08780;08790;08820;08830
Polytechnic School of Engineering of Manresa (EPSEM);08600;08690;08250;08700;17400;08860;08720;08750;08770;08780
Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG);08870;17450;08770;08780;08000;08720;08750;08790;08820;08830
Polytechnic University School of Building of Barcelona (EPSEB);08020;08010;08190;08370;08000;08900;08770;08780;08790;08820
School of Agricultural Engineering and Biosystems of Barcelona (EEABB);08790;08830;08850;08000;08690;08720;08750;08770;08780;08820
School of Architecture of Vallès (ETSAV);08910;08180;08190;08220;08230;08000;08770;08780;08790;08820
School of Engineering of Barcelona East (EEBE);08910;08020;08010;08330;08300;08030;08820;08940;08870;08340
School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT);08030;08690;08170;08570;08190;08220;08530;08240;08000;08900
School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC);08020;08750;08950;08000;08870;08720;08770;08780;08790;08820
